continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type,year,month,day
nar,VIR,17.64517524,-63.98283333,28.3,29.8,27.2,76,26.6,0.64,6,Patchy rain possible,EQ,2024,6,8
nar,USA,62.0814,-147.4873,0.1,3.5,-2.8,89,7.6,1.05,1,Moderate or heavy snow showers,EQ,2024,9,27
nar,USA,63.8772,-145.6294,2.8,4.4,1.6,87,9.0,0.18,1,Patchy rain possible,EQ,2024,9,27
nar,USA,46.688,-111.459833,13.8,24.4,4.2,46,11.2,0.0,6,Sunny,EQ,2024,9,27
nar,CAN,53.5,-116.0,10.8,14.6,7.4,46,20.2,0.0,4,Partly cloudy,DR,2024,9,27
nar,MEX,20.3,-107.6,27.5,30.0,26.0,93,9.7,0.0,6,Fog,TC,2024,9,27
nar,USA,39.5,-78.5,21.4,22.6,19.7,96,18.7,26.51,5,Moderate or heavy rain shower,DR,2024,9,27
nar,MEX,16.794,-98.0,14.5,16.7,13.1,96,13.3,182.89,4,Heavy rain,DR,2024,9,27
nar,USA,32.84900857,-83.0,25.2,28.3,23.2,81,71.6,269.32,6,Heavy rain,SW,2024,9,27
nar,USA,68.57300857,-144.2783,-2.2,-0.4,-4.5,93,6.5,0.65,1,Light snow showers,EQ,2024,9,27
nar,USA,61.6254,-146.0974,2.0,5.3,-0.1,77,13.7,0.12,2,Patchy rain possible,EQ,2024,9,27
nar,MEX,17.64900857,-103.0,27.1,29.8,25.4,71,13.7,0.0,6,Overcast,SW,2024,9,27
nar,USA,35.1015,-91.480167,17.8,18.5,17.1,92,36.7,163.18,4,Light rain shower,EQ,2024,9,27
nar,USA,56.3375,-159.354167,5.8,7.4,4.4,65,33.5,0.64,2,Patchy rain possible,EQ,2024,9,26
nar,USA,40.474,-111.48,15.9,26.6,7.1,31,18.4,0.0,7,Sunny,EQ,2024,9,26
nar,USA,45.301167,-110.902,15.4,19.9,11.0,36,26.6,0.0,4,Cloudy,EQ,2024,9,26
nar,USA,37.877,-112.475,17.0,24.3,9.1,32,14.8,0.0,6,Partly cloudy,EQ,2024,9,26
nar,USA,48.772,-112.267167,14.3,18.1,10.0,50,36.7,0.0,5,Partly cloudy,EQ,2024,9,26
nar,USA,29.839,-98.17,25.2,31.6,21.3,57,21.2,0.0,7,Overcast,EQ,2024,9,26
nar,USA,34.738667,-98.448333,22.3,29.9,14.3,52,16.9,0.0,7,Sunny,EQ,2024,9,26
nar,USA,48.62967524,-123.2478333,11.0,12.2,10.2,92,13.0,7.95,3,Moderate or heavy rain shower,EQ,2024,9,26
nar,USA,46.73940857,-117.573,14.9,21.2,9.2,63,24.8,0.0,5,Mist,WF,2024,9,26
nar,USA,44.45,-110.9385,13.3,15.4,11.7,35,32.4,0.0,5,Sunny,EQ,2024,9,26
nar,MEX,19.42710857,-99.2037,13.6,14.0,13.1,97,12.2,69.86,3,Moderate rain,EQ,2024,9,26
nar,USA,47.537833,-121.812833,12.5,15.0,10.7,79,7.2,24.84,4,Moderate or heavy rain shower,EQ,2024,9,26
nar,USA,38.772833,-89.3675,18.4,24.3,11.9,73,19.1,0.0,5,Mist,EQ,2024,9,26
nar,USA,39.4928,-119.5076,20.1,27.6,13.2,35,10.4,0.0,7,Sunny,EQ,2024,9,26
nar,USA,36.034167,-91.700167,20.2,23.7,17.5,68,17.3,9.37,5,Thundery outbreaks possible,EQ,2024,9,26
nar,USA,64.9856,-147.4266,3.1,3.8,2.2,89,5.0,0.1,1,Patchy rain possible,EQ,2024,9,25
nar,USA,32.35540857,-103.1818,23.4,30.6,17.3,50,25.6,0.0,8,Sunny,EQ,2024,9,25
nar,USA,36.5271,-115.0989,28.7,37.0,21.4,15,9.0,0.0,9,Sunny,EQ,2024,9,25
nar,USA,38.5876,-116.4255,18.1,26.7,10.1,23,31.0,0.0,7,Sunny,EQ,2024,9,25
nar,USA,45.376333,-121.7195,13.0,19.5,7.7,75,21.2,11.58,4,Moderate rain at times,EQ,2024,9,25
nar,CAN,48.99584157,-118.554467,16.1,22.5,10.1,57,37.1,0.0,5,Overcast,WF,2024,9,25
nar,USA,62.0755,-145.0283,6.1,9.6,2.9,76,7.9,0.01,2,Mist,EQ,2024,9,25
nar,USA,46.68670857,-120.3753,18.1,24.3,10.8,55,35.6,0.0,5,Thundery outbreaks possible,WF,2024,9,25
nar,USA,38.2077,-117.7542,18.1,26.7,10.1,23,31.0,0.0,7,Sunny,EQ,2024,9,25
nar,USA,44.776,-111.2255,14.2,21.3,8.8,44,19.8,0.0,6,Sunny,EQ,2024,9,25
nar,USA,18.88950857,-154.2073,23.0,24.2,21.9,78,15.1,0.96,5,Patchy rain possible,EQ,2024,9,25
nar,USA,35.8615,-96.7815,22.4,28.7,15.4,61,19.8,0.0,6,Mist,EQ,2024,9,25
nar,USA,39.7901,-120.6559,17.9,23.6,13.3,32,25.2,0.0,6,Sunny,EQ,2024,9,25
nar,USA,66.7525,-146.8658,2.3,2.8,1.7,94,7.6,2.99,1,Heavy snow,EQ,2024,9,25
